Transaction ID,Transaction Date,Release Date,CustomerID,CustFirstName,CustLastName,CivilStatus,Gender,CustBirthday,CustSegment,VehicleID,Color,Manufacturer,Model,ModelYear,Type,TransmissionType,FuelType,SRP,EmployeeID,EmpFirstName,EmpLastName,EmpDesignation,BranchID,DiscountProvided,MiscellaneousFees,PaymentMethod,PlateNumber
TXN-RB-5954-154,24/10/2025,30/10/2025,CUST03698,Rochelle,Bautista,Married,Female,23892,Personal,VEH010BGEAT-DSL,Beige,Kia,Carnival,2020,Van,Automatic,Diesel,2940000,EMP0154,Ronald,Estrella,Manager,BR035,0,69500,Trade-in + Financing,HPL 5090
TXN-CD-5629-086,03/12/2024,09/12/2024,CUST02848,Clarisse,Domingo,Married,Female,36003,Business,VEH056WHTMT-GAS,White,Suzuki,Dzire,2025,Sedan,Manual,Gas,840000,EMP0086,Kathleen,Ong,Manager,BR020,3500,46500,Cash,LPH 2774
TXN-RM-4441-074,02/09/2021,10/09/2021,CUST08923,Rose,Morales,Married,Female,28047,Personal,VEH090WHTAT-ELEC,White,BYD,Atto 3,2025,SUV,Automatic,Electric,2220000,EMP0074,Andrea,Salazar,Mid-Level,BR017,22500,30000,In-house Financing,BEH 7521
TXN-MP-4481-136,12/10/2021,21/10/2021,CUST07173,Maria,Perez,Single,Female,39743,Personal,VEH052BRNAT-HYB,Brown,BYD,Tang,2026,SUV,Automatic,Hybrid,3690000,EMP0136,Gabriel,Fernandez,Manager,BR031,62000,79500,In-house Financing,TPA 2685
TXN-JM-3866-138,05/02/2020,13/02/2020,CUST02871,Janelle,Martinez,Single,Female,22873,Business,VEH033REDAT-DSL,Red,Ford,Everest,2022,SUV,Automatic,Diesel,2230000,EMP0138,Phoebe,Bautista,Junior,BR031,98500,20500,Bank Financing,HZL 8944
TXN-JD-5494-168,21/07/2024,30/07/2024,CUST04723,Jose,De Leon,Single,Male,28318,Personal,VEH084SLVMT-DSL,Silver,Mazda,BT-50,2026,Pick-Up,Manual,Diesel,1720000,EMP0168,Joanna,De Leon,Junior,BR038,55500,80000,Cash,CGD 7880
TXN-CN-5661-063,04/01/2025,07/01/2025,CUST08168,Chona,Navarro,Married,Female,27384,Personal,VEH069GRNMT-GAS,Green,Mitsubishi,Xpander,2024,MPV,Manual,Gas,1100000,EMP0063,Jasmine,Aquino,Mid-Level,BR014,57500,62500,Cash,OYL 6196
TXN-RM-5400-062,18/04/2024,22/04/2024,CUST01528,Rafael,Manalo,Single,Male,32814,Personal,VEH089GRNCVT-GAS,Green,Chery,Tiggo 2 Pro,2026,SUV,CVT,Gas,1170000,EMP0062,Miguel,Santos,Junior,BR014,33000,68500,Trade-in + Financing,QEY 2744
TXN-JV-5786-043,09/05/2025,12/05/2025,CUST02237,Janelle,Velasco,Married,Female,32114,Personal,VEH082GRYAT-GAS,Gray,Mazda,Mazda3,2020,Sedan,Automatic,Gas,1490000,EMP0043,Angela,Ramos,Mid-Level,BR010,13500,81500,Bank Financing,UGA 7856
TXN-CM-4180-068,15/12/2020,20/12/2020,CUST07461,Caryl,Morales,Married,Female,19706,Personal,VEH086BRNAT-HYB,Brown,Kia,Sorento,2026,SUV,Automatic,Hybrid,2930000,EMP0068,Joanna,Castillo,Manager,BR016,26000,64500,Bank Financing,JWK 3493
TXN-EM-4418-091,10/08/2021,16/08/2021,CUST02069,Eric,Manalo,Single,Male,32367,Personal,VEH004PRLAT-DSL,Pearl White,Isuzu,mu-X,2025,SUV,Automatic,Diesel,2240000,EMP0091,Emmanuel,Rivera,Manager,BR021,44500,20000,In-house Financing,WLN 4746
TXN-CG-6133-069,21/04/2026,27/04/2026,CUST01316,Camille,Garcia,Married,Female,37188,Personal,VEH090WHTAT-ELEC,White,BYD,Atto 3,2025,SUV,Automatic,Electric,2220000,EMP0069,Gabriel,Chua,Senior,BR016,35500,67000,Trade-in + Financing,QXM 5626
TXN-BS-5275-063,15/12/2023,24/12/2023,CUST07270,Bryan,Santiago,Married,Male,33663,Personal,VEH049PRLCVT-HYB,Pearl White,Subaru,Forester,2024,SUV,CVT,Hybrid,2580000,EMP0063,Jasmine,Aquino,Mid-Level,BR014,0,28000,Cash,UHJ 1557
TXN-CC-5639-055,13/12/2024,23/12/2024,CUST08154,Carlos,Co,Widowed,Male,21862,Personal,VEH095BRNAT-DSL,Brown,Nissan,Terra,2023,SUV,Automatic,Diesel,2100000,EMP0055,Oliver,Gonzales,Manager,BR013,108000,46500,Bank Financing,GGA 8961
TXN-PM-4969-086,12/02/2023,20/02/2023,CUST07485,Paulo,Mendoza,Single,Male,39387,Personal,VEH059SLVAT-GAS,Silver,Volkswagen,T-Cross,2024,SUV,Automatic,Gas,1490000,EMP0086,Kathleen,Ong,Manager,BR020,94000,48000,In-house Financing,CJJ 2608
TXN-AY-3970-059,19/05/2020,26/05/2020,CUST04690,Anne,Yu,Single,Female,20463,Personal,VEH063BRZAT-GAS,Bronze,Peugeot,5008,2024,SUV,Automatic,Gas,2570000,EMP0059,Clarisse,Ramos,Manager,BR014,80000,80000,Cash,EGT 7610
TXN-JG-4024-167,12/07/2020,22/07/2020,CUST02154,Jerome,Garcia,Single,Male,26706,Personal,VEH022GRYCVT-GAS,Gray,Honda,City,2024,Sedan,CVT,Gas,1180000,EMP0167,Elaine,Uy,Manager,BR038,0,63000,Bank Financing,EDO 9598
TXN-MV-4232-072,05/02/2021,14/02/2021,CUST01887,Mark,Velasco,Married,Male,31926,Business,VEH077WHTMT-DSL,White,Mitsubishi,L300,2022,Utility,Manual,Diesel,930000,EMP0072,Regina,Valdez,Junior,BR016,63000,59500,Bank Financing,FRR 3850
TXN-AF-5441-086,29/05/2024,07/06/2024,CUST06243,Arvin,Fernandez,Single,Male,38335,Personal,VEH023PRLCVT-GAS,Pearl White,Honda,Civic,2022,Sedan,CVT,Gas,1630000,EMP0086,Kathleen,Ong,Manager,BR020,28500,49500,Bank Financing,MQY 3666
TXN-MC-5766-150,19/04/2025,23/04/2025,CUST00743,Marco,Cruz,Single,Male,29803,Personal,VEH011BRZAT-DSL,Bronze,Isuzu,D-MAX,2025,Pick-Up,Automatic,Diesel,1800000,EMP0150,Angela,Ong,Junior,BR034,0,33500,Cash,GNK 3965
TXN-CG-5598-094,02/11/2024,07/11/2024,CUST06687,Chona,Gonzales,Married,Female,30345,Business,VEH008BGEAT-GAS,Beige,Ford,Territory,2025,SUV,Automatic,Gas,1520000,EMP0094,Kristine,Bernardo,Senior,BR021,0,79000,Bank Financing,LYW 0659
TXN-CU-4464-039,25/09/2021,04/10/2021,CUST03476,Caryl,Uy,Married,Female,24386,Personal,VEH004SLVAT-DSL,Silver,Isuzu,mu-X,2025,SUV,Automatic,Diesel,2240000,EMP0039,Julius,Aquino,Senior,BR009,28500,27000,Cash,IZU 2855
TXN-RJ-4510-111,10/11/2021,16/11/2021,CUST04543,Rafael,Jacinto,Married,Male,34179,Business,VEH098ORGAT-GAS,Orange,GAC,GN6,2025,MPV,Automatic,Gas,1400000,EMP0111,Mara,Estrada,Mid-Level,BR025,58000,15500,Bank Financing,ERA 0723
TXN-AF-5543-098,08/09/2024,18/09/2024,CUST01042,Allan,Fajardo,Single,Male,38547,Personal,VEH020GRYAT-DSL,Gray,Ford,Raptor,2023,Pick-Up,Automatic,Diesel,2520000,EMP0098,Catherine,Velasco,Mid-Level,BR022,43500,30000,Bank Financing,CNY 0785
TXN-ME-6087-128,06/03/2026,13/03/2026,CUST01769,Mikaela,Espiritu,Single,Female,38311,Business,VEH010BGEAT-DSL,Beige,Kia,Carnival,2020,Van,Automatic,Diesel,2940000,EMP0128,Vincent,Cruz,Junior,BR029,27000,71000,Trade-in + Financing,IDD 6573
TXN-AG-6109-106,28/03/2026,05/04/2026,CUST03523,Aileen,Go,Married,Female,26551,Personal,VEH011BRZMT-DSL,Bronze,Isuzu,D-MAX,2025,Pick-Up,Manual,Diesel,1600000,EMP0106,Bryan,Ramos,Senior,BR024,0,30000,Bank Financing,VKS 3329
TXN-CR-6043-094,21/01/2026,27/01/2026,CUST01583,Carlo,Resuello,Married,Male,26277,Personal,VEH062GRYMT-GAS,Gray,Hyundai,Accent,2026,Sedan,Manual,Gas,940000,EMP0094,Kristine,Bernardo,Senior,BR021,0,71500,Cash,YOR 4894
TXN-AT-3956-151,05/05/2020,12/05/2020,CUST08314,Angelo,Tolentino,Married,Male,26586,Business,VEH043BGEAT-GAS,Beige,Mazda,CX-5,2026,SUV,Automatic,Gas,2170000,EMP0151,Michelle,Soriano,Mid-Level,BR034,16500,28500,Bank Financing,WJO 1224
TXN-ME-4265-093,10/03/2021,17/03/2021,CUST04382,Mariel,Espiritu,Married,Female,24353,Personal,VEH074BGEMT-DSL,Beige,Isuzu,Traviz,2020,Utility,Manual,Diesel,1060000,EMP0093,Cedric,Villanueva,Mid-Level,BR021,107000,18500,Bank Financing,IIA 8541
TXN-MA-5069-102,23/05/2023,30/05/2023,CUST06879,Mariel,Aguilar,Single,Female,24184,Personal,VEH086BRNAT-HYB,Brown,Kia,Sorento,2026,SUV,Automatic,Hybrid,2930000,EMP0102,Grace,Estrada,Mid-Level,BR023,9500,64500,Bank Financing,SUO 0016
TXN-JF-4722-057,10/06/2022,15/06/2022,CUST06786,Joshua,Francisco,Married,Male,27509,Personal,VEH028WHTAT-GAS,White,GAC,M8,2021,Van,Automatic,Gas,2700000,EMP0057,Carlos,Fernandez,Senior,BR013,56000,73000,Cash,LHR 4603
TXN-RL-3910-060,20/03/2020,29/03/2020,CUST04743,Rafael,Lopez,Married,Male,34013,Personal,VEH083PRLMT-DSL,Pearl White,Hyundai,H-100,2023,Utility,Manual,Diesel,1260000,EMP0060,Bea,Cruz,Mid-Level,BR014,4000,48500,Bank Financing,LDN 2563
TXN-JR-4493-164,24/10/2021,03/11/2021,CUST05130,Jayson,Resuello,Married,Male,25457,Personal,VEH071BGEMT-DSL,Beige,Mitsubishi,Strada,2021,Pick-Up,Manual,Diesel,1320000,EMP0164,Ramon,Marquez,Mid-Level,BR037,26500,25000,Bank Financing,QHK 9194
TXN-SB-5468-020,25/06/2024,28/06/2024,CUST06561,Samantha,Bernardo,Married,Female,29671,Business,VEH006BRZMT-DSL,Bronze,Hyundai,H-100,2024,Utility,Manual,Diesel,1290000,EMP0020,Elaine,Rosales,Mid-Level,BR005,7000,72000,In-house Financing,TFU 0651
TXN-JA-5289-029,29/12/2023,07/01/2024,CUST01685,James,Abad,Married,Male,23090,Personal,VEH035BRZCVT-GAS,Bronze,Honda,BR-V,2024,SUV,CVT,Gas,1310000,EMP0029,Nathan,Valdez,Junior,BR007,12000,46000,Cash,DTB 9645
TXN-VB-6053-050,31/01/2026,05/02/2026,CUST05180,Vincent,Bernardo,Married,Male,29100,Personal,VEH020BLKAT-GAS,Black,Ford,Raptor,2023,Pick-Up,Automatic,Gas,2420000,EMP0050,Patricia,Aquino,Manager,BR012,294500,57500,Bank Financing,QUP 3040
TXN-IM-5758-134,11/04/2025,21/04/2025,CUST06300,Ivan,Manalo,Single,Male,36665,Personal,VEH057BGEAT-GAS,Beige,Mazda,Mazda2,2026,Sedan,Automatic,Gas,1340000,EMP0134,Cedric,Co,Junior,BR030,56000,81500,Trade-in + Financing,TBX 5165
TXN-JC-5794-142,17/05/2025,25/05/2025,CUST08267,James,Castillo,Married,Male,35203,Personal,VEH097GRYAT-DSL,Gray,Ford,Raptor,2026,Pick-Up,Automatic,Diesel,2660000,EMP0142,Dominic,Flores,Junior,BR032,47500,26000,Bank Financing,LLN 1324
TXN-MM-4006-040,24/06/2020,29/06/2020,CUST01549,Michael,Martinez,Married,Male,25146,Personal,VEH027BLKCVT-HYB,Black,Chery,Tiggo 5X Pro,2022,SUV,CVT,Hybrid,1520000,EMP0040,Hazel,Manalo,Mid-Level,BR009,0,58000,Bank Financing,WZP 1069
TXN-KB-4940-158,14/01/2023,17/01/2023,CUST05073,Kathleen,Bautista,Widowed,Female,22147,Personal,VEH069PRLMT-GAS,Pearl White,Mitsubishi,Xpander,2024,MPV,Manual,Gas,1100000,EMP0158,Michelle,Tan,Manager,BR036,7000,26000,In-house Financing,VRV 7656
TXN-BR-4737-031,25/06/2022,01/07/2022,CUST05599,Bryan,Resuello,Married,Male,25994,Personal,VEH055BLKMT-GAS,Black,Suzuki,Jimny,2024,SUV,Manual,Gas,1310000,EMP0031,Mikaela,Rosales,Mid-Level,BR007,4000,43000,Company Purchase,EHU 5575
TXN-RM-4815-014,11/09/2022,21/09/2022,CUST02528,Regina,Manalo,Married,Female,21020,Personal,VEH078BRNAT-DSL,Brown,Hyundai,Tucson,2025,SUV,Automatic,Diesel,1980000,EMP0014,Camille,Dela Cruz,Manager,BR004,131000,64500,In-house Financing,VEL 4624
TXN-JS-4853-018,19/10/2022,28/10/2022,CUST05071,Joy,Sy,Widowed,Female,31972,Personal,VEH063BGEAT-GAS,Beige,Peugeot,5008,2024,SUV,Automatic,Gas,2570000,EMP0018,Paolo,Bautista,Senior,BR004,87000,46500,Bank Financing,OLU 7541
TXN-CI-6121-151,09/04/2026,12/04/2026,CUST06082,Clarisse,Intal,Married,Female,28917,Personal,VEH020GRYAT-DSL,Gray,Ford,Raptor,2023,Pick-Up,Automatic,Diesel,2520000,EMP0151,Michelle,Soriano,Mid-Level,BR034,0,78000,In-house Financing,WHT 2914
TXN-AF-4361-158,14/06/2021,21/06/2021,CUST00873,Anne,Francisco,Married,Female,21125,Personal,VEH014ORGMT-DSL,Orange,Foton,Thunder,2022,Pick-Up,Manual,Diesel,1490000,EMP0158,Michelle,Tan,Manager,BR036,0,69500,Bank Financing,ZJA 9867
TXN-JL-6080-098,27/02/2026,08/03/2026,CUST07350,Joel,Lim,Married,Male,33193,Personal,VEH059SLVAT-GAS,Silver,Volkswagen,T-Cross,2024,SUV,Automatic,Gas,1490000,EMP0098,Catherine,Velasco,Mid-Level,BR022,10000,76500,Cash,FDY 6472
TXN-JJ-4766-062,24/07/2022,27/07/2022,CUST08190,Jeffrey,Jacinto,Divorced,Male,17079,Personal,VEH017GRYAT-HYB,Gray,Chery,Tiggo 8 Pro,2023,SUV,Automatic,Hybrid,2080000,EMP0062,Miguel,Santos,Junior,BR014,0,29500,Bank Financing,OSH 0351
TXN-RC-5083-076,06/06/2023,15/06/2023,CUST08317,Rochelle,Co,Married,Female,35344,Personal,VEH037BLUMT-GAS,Blue,Nissan,Almera,2025,Sedan,Manual,Gas,1040000,EMP0076,Alyssa,Co,Junior,BR017,132000,81500,In-house Financing,BKJ 7302
TXN-AA-5071-153,25/05/2023,28/05/2023,CUST00727,Angela,Abad,Married,Female,33787,Personal,VEH022GRYCVT-GAS,Gray,Honda,City,2024,Sedan,CVT,Gas,1180000,EMP0153,Samantha,Sy,Mid-Level,BR034,45500,32500,In-house Financing,EUM 6680
TXN-MS-5270-088,10/12/2023,15/12/2023,CUST00687,Mary,Soriano,Married,Female,26437,Personal,VEH057BGEAT-GAS,Beige,Mazda,Mazda2,2026,Sedan,Automatic,Gas,1340000,EMP0088,Alyssa,Aquino,Junior,BR020,0,41000,Bank Financing,VMA 6280
TXN-BM-5874-130,05/08/2025,08/08/2025,CUST07205,Bryan,Mercado,Married,Male,33453,Personal,VEH008BRZAT-HYB,Bronze,Ford,Territory,2025,SUV,Automatic,Hybrid,2020000,EMP0130,Ronald,Estrada,Senior,BR029,25500,67500,Bank Financing,MYN 8706
TXN-KF-4240-048,13/02/2021,21/02/2021,CUST04844,Kevin,Fajardo,Married,Male,26441,Personal,VEH024GRYCVT-GAS,Gray,Geely,Emgrand,2020,Sedan,CVT,Gas,840000,EMP0048,Grace,Cabrera,Mid-Level,BR011,0,58000,Bank Financing,ELL 7964
